Tabelle: 12612-0020
Live births per 1000 inhabitants: Germany, months;;
Birth statistics;;;
Germany;;;
;;Live births per 1000 inhabitants;
;;number;number
2020;January;9.0;e
;February;8.9;e
;March;8.8;e
;April;9.0;e
;May;9.2;e
;June;9.7;e
;July;10.1;e
;August;9.9;e
;September;10.2;e
;October;9.3;e
;November;8.7;e
;December;8.6;e
2021;January;9.1;e
;February;9.5;e
;March;9.5;e
;April;9.3;e
;May;9.2;e
;June;9.7;e
;July;10.2;e
;August;10.3;e
;September;10.4;e
;October;9.7;e
;November;9.2;e
;December;8.7;e
2022;January;8.3;e
;February;8.4;e
;March;8.2;e
;April;8.3;e
;May;9.1;e
;June;9.4;e
;July;9.6;e
;August;9.5;e
;September;9.7;e
;October;8.9;e
;November;8.3;e
;December;7.9;e
2023;January;8.0;e
;February;8.2;e
;March;8.0;e
;April;7.8;e
;May;8.3;e
;June;8.6;e
;July;8.8;e
;August;8.6;e
;September;8.5;e
;October;8.2;e
;November;8.0;e
;December;7.5;e
2024;January;7.7;p
;February;8.0;p
;March;7.8;p
;April;7.8;p
;May;8.0;p
;June;8.0;p
;July;8.2;p
;August;8.2;p
;September;...;
;October;...;
;November;...;
;December;...;
__________
From 2012: Results based on the 2011 Census.
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:27:33
