Tabelle: 12612-0006
Live births: Germany, years, age of the father,;;;
marital status of the father;;;
Birth statistics;;;;;
Germany;;;;;
Live births (number);;;;;
;;Marital status of the father;;;
;;Married;;Not married;
2023;under 18 years;3;e;179;e
;18 years;48;e;401;e
;19 years;206;e;843;e
;20 years;469;e;1420;e
;21 years;1007;e;1948;e
;22 years;1661;e;2759;e
;23 years;2773;e;3627;e
;24 years;4167;e;4448;e
;25 years;6418;e;5474;e
;26 years;9207;e;6618;e
;27 years;12330;e;7450;e
;28 years;16303;e;8077;e
;29 years;20955;e;9284;e
;30 years;26146;e;10248;e
;31 years;30739;e;11065;e
;32 years;35138;e;12331;e
;33 years;37299;e;12724;e
;34 years;37221;e;12202;e
;35 years;35832;e;11586;e
;36 years;32039;e;10521;e
;37 years;27488;e;9019;e
;38 years;23832;e;7797;e
;39 years;20282;e;6851;e
;40 years;17100;e;5786;e
;41 years;14024;e;4907;e
;42 years;11222;e;4049;e
;43 years;9001;e;3197;e
;44 years;6689;e;2657;e
;45 years;5197;e;2133;e
;46 years;4057;e;1612;e
;47 years;3115;e;1341;e
;48 years;2419;e;1051;e
;49 years;1868;e;876;e
;50 years;1528;e;731;e
;51 years;1148;e;570;e
;52 years;939;e;541;e
;53 years;842;e;404;e
;54 years;654;e;364;e
;55 years;520;e;315;e
;56 years;420;e;277;e
;57 years;314;e;186;e
;58 years;284;e;145;e
;59 years;196;e;133;e
;60 years;135;e;94;e
;61 years;99;e;85;e
;62 years;91;e;55;e
;63 years;81;e;65;e
;64 years;53;e;38;e
;65 years;41;e;31;e
;66 years;28;e;24;e
;67 years;32;e;11;e
;68 years;26;e;11;e
;69 years;13;e;10;e
;70 years and over;58;e;21;e
;age unknown;17;e;40623;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:20:02
