Tabelle: 12612-0023
Average age of the father at birth of the child: Germany,;;;
years, live birth order;;;
Birth statistics;;;;;;
Germany;;;;;;
Average age of the father at birth of the child (years);;;;;;
;Live birth order;;;;;
;First child of the mother;;Second child of the mother;;Third child of the mother;
2014;32.8;e;35.1;e;36.6;e
2015;32.8;e;35.1;e;36.6;e
2016;32.8;e;35.0;e;36.4;e
2017;32.9;e;35.0;e;36.5;e
2018;33.0;e;35.1;e;36.5;e
2019;33.1;e;35.2;e;36.6;e
2020;33.2;e;35.2;e;36.7;e
2021;33.3;e;35.3;e;36.7;e
2022;33.3;e;35.3;e;36.7;e
2023;33.2;e;35.4;e;36.7;e
__________
"Calculation basis: 
Live births according to the age of the father in completed
years."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:28:21
