Tabelle: 12612-0019
Live births per 1000 inhabitants: Germany, years;
Birth statistics;;
Germany;;
;Live births per 1000 inhabitants;
;number;number
1950;16.3;e
1951;16.1;e
1952;15.9;e
1953;15.7;e
1954;15.9;e
1955;15.8;e
1956;16.0;e
1957;16.4;e
1958;16.4;e
1959;17.2;e
1960;17.3;e
1961;17.9;e
1962;17.8;e
1963;18.2;e
1964;18.1;e
1965;17.5;e
1966;17.3;e
1967;16.7;e
1968;15.8;e
1969;14.8;e
1970;13.5;e
1971;12.9;e
1972;11.4;e
1973;10.3;e
1974;10.2;e
1975;9.9;e
1976;10.2;e
1977;10.3;e
1978;10.4;e
1979;10.5;e
1980;11.0;e
1981;11.0;e
1982;11.0;e
1983;10.6;e
1984;10.4;e
1985;10.5;e
1986;10.9;e
1987;11.2;e
1988;11.4;e
1989;11.2;e
1990;11.4;e
1991;10.4;e
1992;10.0;e
1993;9.8;e
1994;9.5;e
1995;9.4;e
1996;9.7;e
1997;9.9;e
1998;9.6;e
1999;9.4;e
2000;9.3;e
2001;8.9;e
2002;8.7;e
2003;8.6;e
2004;8.5;e
2005;8.3;e
2006;8.2;e
2007;8.3;e
2008;8.3;e
2009;8.1;e
2010;8.3;e
2011;8.3;e
2012;8.4;e
2013;8.5;e
2014;8.8;e
2015;9.0;e
2016;9.6;e
2017;9.5;e
2018;9.5;e
2019;9.4;e
2020;9.3;e
2021;9.6;e
2022;8.8;e
2023;8.2;e
__________
From 2011: Results based on the 2011 Census.
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:27:19
