Tabelle: 12612-0010
Total fertility rate (per woman): Germany, years,;;
citizenship of the mother;;
Birth statistics;;;;
Germany;;;;
Total fertility rate (per woman) (number);;;;
;Citizenship of the mother;;;
;German;;Foreign;
1991;1.255;e;2.039;e
1992;1.203;e;2.020;e
1993;1.187;e;1.931;e
1994;1.153;e;1.838;e
1995;1.162;e;1.801;e
1996;1.223;e;1.883;e
1997;1.278;e;1.924;e
1998;1.273;e;1.865;e
1999;1.286;e;1.829;e
2000;1.306;e;1.836;e
2001;1.288;e;1.738;e
2002;1.284;e;1.712;e
2003;1.284;e;1.702;e
2004;1.304;e;1.692;e
2005;1.291;e;1.663;e
2006;1.285;e;1.639;e
2007;1.332;e;1.638;e
2008;1.348;e;1.584;e
2009;1.331;e;1.570;e
2010;1.365;e;1.611;e
2011;1.339;e;1.818;e
2012;1.357;e;1.792;e
2013;1.367;e;1.798;e
2014;1.417;e;1.862;e
2015;1.427;e;1.955;e
2016;1.460;e;2.280;e
2017;1.453;e;2.151;e
2018;1.448;e;2.122;e
2019;1.428;e;2.062;e
2020;1.426;e;1.999;e
2021;1.487;e;2.006;e
2022;1.359;e;1.879;e
2023;1.257;e;1.741;e
__________
"Total fertility rate (""average number of children per
woman""):
Total of the age-specific fertility rates according to the
year-of-birth method.

From 2011: Results based on the 2011 Census."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:21:09
