Tabelle: 12612-0003
Live births: Germany, years, citizenship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birth statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Live births (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1960;;1961;;1962;;1963;;1964;;1965;;1966;;1967;;1968;;1969;;1970;;1971;;1972;;1973;;1974;;1975;;1976;;1977;;1978;;1979;;1980;;1981;;1982;;1983;;1984;;1985;;1986;;1987;;1988;;1989;;1990;;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Poland;218;e;158;e;123;e;114;e;110;e;76;e;88;e;74;e;93;e;47;e;79;e;88;e;122;e;149;e;199;e;229;e;275;e;305;e;350;e;405;e;539;e;792;e;1305;e;1198;e;1204;e;1474;e;1735;e;2193;e;3170;e;4239;e;4843;e;4013;e;4297;e;4660;e;4783;e;4761;e;5207;e;5407;e;5491;e;5692;e;5839;e;5985;e;6050;e;6285;e;6470;e;6802;e;7098;e;7423;e;7633;e;7156;e;7421;e;7199;e;7845;e;8679;e;9958;e;10831;e;11770;e;11735;e;11546;e;10949;e;10441;e;10176;e;8899;e;7824;e
Portugal;9;e;24;e;24;e;39;e;82;e;113;e;241;e;546;e;638;e;829;e;1078;e;1404;e;1958;e;2299;e;2891;e;3226;e;2835;e;2346;e;1964;e;1812;e;1696;e;1673;e;1513;e;1266;e;980;e;880;e;983;e;1020;e;1067;e;1130;e;1184;e;1215;e;1390;e;1475;e;1438;e;1628;e;1760;e;1903;e;1870;e;1790;e;1906;e;1725;e;1650;e;1599;e;1379;e;1341;e;1312;e;1218;e;1187;e;1128;e;1038;e;1073;e;1092;e;1103;e;1265;e;1424;e;1383;e;1364;e;1374;e;1370;e;1378;e;1341;e;1254;e;1168;e
Switzerland;240;e;311;e;308;e;314;e;364;e;378;e;387;e;373;e;385;e;326;e;326;e;381;e;403;e;399;e;429;e;467;e;490;e;486;e;485;e;525;e;521;e;494;e;514;e;457;e;436;e;422;e;381;e;457;e;446;e;426;e;452;e;452;e;440;e;436;e;473;e;476;e;501;e;536;e;439;e;489;e;472;e;425;e;413;e;400;e;431;e;412;e;362;e;376;e;412;e;382;e;380;e;366;e;358;e;344;e;411;e;366;e;386;e;416;e;419;e;389;e;447;e;416;e;389;e;370;e
Spain;171;e;786;e;2070;e;3223;e;4171;e;5175;e;5943;e;5303;e;4458;e;4401;e;4744;e;5320;e;5672;e;5637;e;5248;e;4562;e;3928;e;3252;e;2724;e;2470;e;2396;e;2157;e;1905;e;1679;e;1409;e;1390;e;1438;e;1511;e;1475;e;1360;e;1409;e;1372;e;1313;e;1357;e;1258;e;1320;e;1440;e;1391;e;1438;e;1391;e;1447;e;1420;e;1365;e;1339;e;1377;e;1300;e;1311;e;1262;e;1284;e;1266;e;1250;e;1282;e;1369;e;1437;e;1685;e;1832;e;2011;e;2058;e;2083;e;2007;e;2056;e;2103;e;1928;e;1873;e
Turkey;51;e;85;e;235;e;421;e;771;e;1872;e;3366;e;4580;e;5397;e;8550;e;13353;e;21252;e;27685;e;33914;e;41221;e;44718;e;41301;e;38059;e;36898;e;37760;e;41126;e;41134;e;36392;e;30378;e;26934;e;26440;e;29539;e;35431;e;39196;e;42718;e;45888;e;46165;e;48258;e;47632;e;46438;e;45151;e;48356;e;48876;e;46283;e;41663;e;39774;e;36683;e;34961;e;33226;e;32026;e;30007;e;29644;e;28710;e;26437;e;24576;e;24386;e;23172;e;22142;e;21754;e;21908;e;21555;e;21827;e;20989;e;20310;e;19614;e;18532;e;18049;e;16806;e;16319;e
Hungary;172;e;152;e;120;e;114;e;106;e;96;e;118;e;92;e;86;e;100;e;105;e;170;e;165;e;215;e;256;e;270;e;267;e;250;e;252;e;222;e;262;e;264;e;257;e;241;e;234;e;225;e;246;e;247;e;352;e;444;e;400;e;438;e;435;e;476;e;448;e;490;e;527;e;599;e;630;e;607;e;672;e;644;e;731;e;712;e;704;e;757;e;739;e;760;e;763;e;781;e;775;e;893;e;958;e;1301;e;1680;e;2026;e;2538;e;2702;e;2888;e;2914;e;2976;e;2855;e;2583;e;2366;e
United Kingdom;180;e;175;e;206;e;219;e;285;e;295;e;348;e;353;e;322;e;356;e;405;e;558;e;665;e;744;e;830;e;856;e;935;e;1031;e;1100;e;1172;e;1221;e;1280;e;1318;e;1260;e;1215;e;1179;e;1253;e;1322;e;1381;e;1394;e;1452;e;1415;e;1406;e;1353;e;1423;e;1321;e;1234;e;1227;e;1160;e;1089;e;1029;e;964;e;979;e;910;e;912;e;829;e;822;e;789;e;779;e;666;e;730;e;724;e;699;e;721;e;731;e;723;e;745;e;724;e;695;e;610;e;604;e;563;e;526;e;466;e
Scandinavian countries;160;e;175;e;251;e;302;e;339;e;474;e;521;e;641;e;642;e;774;e;772;e;923;e;933;e;946;e;1081;e;1097;e;1063;e;1005;e;971;e;986;e;946;e;863;e;846;e;733;e;722;e;624;e;597;e;614;e;628;e;594;e;612;e;649;e;653;e;626;e;673;e;697;e;760;e;782;e;806;e;765;e;794;e;843;e;856;e;782;e;818;e;842;e;780;e;787;e;730;e;746;e;746;e;706;e;645;e;692;e;707;e;751;e;760;e;735;e;716;e;703;e;760;e;740;e;724;e;742;e
Other European countries;414;e;304;e;442;e;644;e;948;e;1115;e;1575;e;2232;e;2388;e;4026;e;8771;e;13401;e;15549;e;17064;e;18399;e;17108;e;15839;e;14198;e;13250;e;12446;e;12203;e;11253;e;9795;e;7928;e;6917;e;6319;e;6224;e;6248;e;6882;e;7858;e;9260;e;12353;e;18665;e;23435;e;25128;e;26555;e;28961;e;29593;e;26975;e;27719;e;29282;e;27489;e;28575;e;29666;e;31166;e;31517;e;28571;e;22314;e;26556;e;28985;e;30771;e;31627;e;33313;e;35804;e;39850;e;48384;e;53183;e;52578;e;55009;e;57050;e;58373;e;61807;e;66917;e;68359;e
Africa;50;e;62;e;74;e;89;e;113;e;148;e;200;e;196;e;207;e;256;e;367;e;574;e;794;e;1045;e;1370;e;1694;e;1967;e;2167;e;2592;e;2964;e;3489;e;3616;e;3685;e;3458;e;3295;e;3215;e;3439;e;3597;e;3851;e;3741;e;4069;e;4211;e;4571;e;5032;e;4815;e;4918;e;5656;e;5943;e;6211;e;6018;e;6401;e;6828;e;7273;e;8006;e;8307;e;8837;e;8995;e;9022;e;8969;e;8930;e;9258;e;9233;e;9585;e;10189;e;11646;e;13530;e;17252;e;17844;e;19970;e;20786;e;19294;e;18621;e;18480;e;18389;e
America;373;e;403;e;507;e;520;e;649;e;650;e;724;e;699;e;712;e;768;e;817;e;1005;e;1150;e;1261;e;1343;e;1371;e;1482;e;1582;e;1716;e;1765;e;1953;e;2101;e;2216;e;2221;e;2372;e;2645;e;2757;e;2983;e;2843;e;3027;e;3060;e;3142;e;3092;e;3395;e;3231;e;3449;e;3509;e;3584;e;3799;e;3934;e;4143;e;4133;e;4169;e;4266;e;4215;e;4289;e;4150;e;4197;e;4225;e;4118;e;4035;e;3962;e;3833;e;3891;e;4366;e;4436;e;4574;e;4457;e;5360;e;5552;e;5499;e;5893;e;5400;e;5445;e
Asia;139;e;200;e;261;e;310;e;430;e;514;e;691;e;683;e;759;e;923;e;1014;e;1300;e;1558;e;1796;e;2124;e;2485;e;2789;e;2919;e;3384;e;3979;e;5058;e;5254;e;5359;e;5018;e;4753;e;5501;e;6871;e;7973;e;8505;e;9619;e;11023;e;12552;e;12861;e;14898;e;14668;e;14841;e;16473;e;17299;e;17313;e;17652;e;19533;e;19138;e;20188;e;20861;e;20671;e;20325;e;19712;e;19498;e;18455;e;17852;e;18462;e;18796;e;19604;e;19577;e;21292;e;25067;e;48049;e;48378;e;49750;e;48565;e;47659;e;48722;e;50181;e;52381;e
Australia and Oceania;12;e;14;e;21;e;31;e;32;e;23;e;47;e;36;e;59;e;60;e;53;e;103;e;98;e;116;e;100;e;109;e;99;e;102;e;118;e;100;e;96;e;86;e;104;e;60;e;99;e;75;e;72;e;85;e;80;e;84;e;100;e;118;e;120;e;106;e;128;e;113;e;119;e;128;e;121;e;115;e;120;e;140;e;136;e;142;e;143;e;147;e;156;e;140;e;170;e;196;e;184;e;185;e;166;e;164;e;198;e;192;e;191;e;213;e;183;e;202;e;204;e;217;e;213;e;143;e
Stateless, unknown, uncertain, not specified;632;e;586;e;491;e;464;e;422;e;394;e;370;e;343;e;344;e;363;e;394;e;461;e;524;e;496;e;559;e;522;e;643;e;623;e;562;e;627;e;609;e;672;e;642;e;618;e;571;e;615;e;835;e;939;e;947;e;1144;e;1350;e;1517;e;1966;e;1828;e;1936;e;2272;e;2475;e;2500;e;2422;e;2922;e;2722;e;2288;e;2210;e;2338;e;2300;e;2212;e;2080;e;2120;e;2253;e;2209;e;1610;e;1595;e;1606;e;1917;e;1960;e;2874;e;5245;e;4873;e;3967;e;4011;e;3663;e;3030;e;3140;e;3220;e
__________
Until 1992: Former territory of the Federal Republic.
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-28 / 12:15:14
