Tabelle: 12612-0008
Live births per 1000 women: Germany, years, age;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birth statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Live births per 1000 women (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Year;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1972;;1973;;1974;;1975;;1976;;1977;;1978;;1979;;1980;;1981;;1982;;1983;;1984;;1985;;1986;;1987;;1988;;1989;;1990;;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
15 years;1.3;e;1.2;e;1.0;e;0.9;e;0.8;e;0.7;e;0.7;e;0.8;e;0.7;e;0.6;e;0.6;e;0.6;e;0.6;e;0.6;e;0.6;e;0.6;e;0.8;e;0.7;e;0.8;e;0.9;e;0.8;e;0.9;e;0.9;e;0.7;e;0.9;e;0.8;e;0.8;e;0.8;e;0.9;e;1.0;e;1.0;e;0.9;e;0.8;e;0.8;e;0.8;e;0.8;e;0.8;e;0.6;e;0.6;e;0.7;e;0.6;e;0.7;e;0.7;e;0.8;e;0.8;e;0.7;e;0.5;e;0.6;e;0.6;e;0.6;e;0.5;e;0.5;e
16 years;6.7;e;6.3;e;5.7;e;5.0;e;4.6;e;4.0;e;3.8;e;3.5;e;3.7;e;3.3;e;3.0;e;2.4;e;2.5;e;2.5;e;2.5;e;2.6;e;3.0;e;3.3;e;3.3;e;3.5;e;3.3;e;2.9;e;2.9;e;2.8;e;2.9;e;2.7;e;2.7;e;2.8;e;2.8;e;3.1;e;3.2;e;3.0;e;2.8;e;2.6;e;2.6;e;2.5;e;2.6;e;2.3;e;2.3;e;2.1;e;2.0;e;2.0;e;2.1;e;2.2;e;2.4;e;2.1;e;1.8;e;1.5;e;1.7;e;1.5;e;1.4;e;1.4;e
17 years;24.8;e;21.2;e;19.9;e;16.5;e;15.4;e;14.4;e;12.9;e;12.6;e;12.1;e;10.7;e;9.7;e;8.1;e;7.4;e;7.1;e;7.2;e;7.5;e;7.9;e;8.2;e;8.6;e;9.0;e;8.5;e;7.5;e;7.1;e;6.8;e;6.9;e;6.9;e;6.8;e;6.8;e;7.0;e;7.5;e;7.7;e;7.1;e;6.4;e;6.2;e;5.8;e;5.5;e;5.7;e;5.2;e;5.1;e;4.8;e;4.8;e;4.4;e;4.8;e;4.7;e;5.3;e;4.4;e;4.1;e;3.5;e;3.4;e;3.2;e;3.3;e;3.1;e
18 years;52.6;e;46.0;e;42.3;e;37.2;e;34.3;e;32.6;e;31.8;e;28.8;e;29.1;e;25.9;e;24.2;e;20.3;e;17.9;e;17.1;e;16.4;e;16.6;e;17.4;e;17.6;e;18.9;e;19.0;e;18.3;e;16.1;e;14.2;e;13.4;e;13.8;e;13.9;e;14.0;e;13.9;e;13.9;e;14.1;e;13.6;e;13.1;e;12.3;e;11.2;e;10.6;e;10.3;e;9.9;e;9.3;e;9.3;e;8.7;e;8.5;e;8.9;e;8.5;e;8.3;e;9.7;e;8.5;e;7.7;e;7.3;e;6.9;e;6.2;e;6.1;e;6.0;e
19 years;83.7;e;73.1;e;69.9;e;63.4;e;61.3;e;58.1;e;56.9;e;55.4;e;55.8;e;51.9;e;47.3;e;41.6;e;37.9;e;34.7;e;33.2;e;32.6;e;33.2;e;33.9;e;34.7;e;33.3;e;31.5;e;28.4;e;25.7;e;24.0;e;24.2;e;24.3;e;24.4;e;24.2;e;24.9;e;24.6;e;23.1;e;22.1;e;20.9;e;20.2;e;19.1;e;18.3;e;17.2;e;16.3;e;16.2;e;15.7;e;14.8;e;14.6;e;14.5;e;14.5;e;16.9;e;14.8;e;13.6;e;12.7;e;12.0;e;10.9;e;11.1;e;10.4;e
20 years;105.9;e;93.0;e;88.5;e;84.6;e;83.1;e;79.8;e;78.1;e;77.6;e;80.7;e;75.7;e;71.8;e;63.7;e;57.8;e;53.3;e;51.1;e;49.3;e;48.6;e;48.1;e;50.8;e;46.3;e;42.9;e;40.8;e;37.6;e;35.5;e;35.5;e;34.9;e;35.5;e;35.2;e;35.2;e;34.3;e;32.2;e;30.6;e;29.2;e;29.1;e;27.7;e;26.5;e;25.3;e;23.2;e;22.4;e;21.8;e;22.2;e;20.4;e;20.5;e;20.8;e;23.1;e;20.5;e;19.9;e;18.8;e;17.3;e;16.2;e;16.1;e;15.9;e
21 years;116.3;e;104.1;e;101.3;e;94.3;e;97.6;e;96.6;e;93.2;e;91.6;e;96.5;e;92.1;e;87.7;e;79.7;e;72.4;e;67.6;e;65.2;e;63.5;e;60.6;e;58.7;e;60.9;e;55.6;e;51.7;e;49.3;e;48.0;e;46.0;e;47.0;e;45.8;e;45.4;e;44.7;e;45.0;e;43.4;e;41.7;e;39.2;e;37.5;e;36.6;e;34.9;e;33.7;e;32.0;e;29.9;e;28.9;e;27.9;e;27.5;e;26.3;e;25.5;e;26.2;e;29.9;e;27.1;e;25.7;e;24.0;e;22.7;e;21.5;e;21.7;e;20.8;e
22 years;122.4;e;110.0;e;107.2;e;105.3;e;105.7;e;108.0;e;106.1;e;102.6;e;106.2;e;103.8;e;100.6;e;92.5;e;85.5;e;80.2;e;78.4;e;76.5;e;73.7;e;68.2;e;69.0;e;61.3;e;58.8;e;55.8;e;54.6;e;54.9;e;57.0;e;57.1;e;54.4;e;54.2;e;53.5;e;51.8;e;48.8;e;47.9;e;45.7;e;43.1;e;41.7;e;40.6;e;38.4;e;36.3;e;35.3;e;33.3;e;32.5;e;31.5;e;31.7;e;31.6;e;35.5;e;33.1;e;31.9;e;29.4;e;27.8;e;26.8;e;26.7;e;26.0;e
