Age of the mother;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
26 years;108.9;101.8;104.8;105.6;110.4;112.8;114.1;113.2;117.6;117.3;116.0;111.9;109.6;109.8;113.0;113.1;115.3;110.6;109.9;96.2;89.8;86.8;82.3;82.1;86.3;87.5;86.1;87.7;87.3;82.8;79.8;79.2;78.4;76.1;73.9;73.5;71.4;68.9;69.5;67.7;67.8;66.4;67.2;67.4;69.8;67.9;66.4;63.7;62.9;63.9;60.7;54.6
27 years;99.9;94.9;95.9;97.0;102.3;105.9;105.4;106.3;110.3;108.5;109.9;105.9;104.8;106.2;110.6;113.0;113.7;110.0;111.0;100.1;95.6;94.1;88.3;87.3;91.3;94.5;91.2;90.6;92.5;88.6;86.3;85.2;85.2;83.5;80.8;81.8;80.0;77.6;77.9;76.3;76.6;75.7;77.3;78.1;81.7;79.9;77.0;75.3;74.3;75.0;70.0;65.3
28 years;91.4;84.0;87.9;87.6;91.7;95.0;96.6;97.5;102.0;100.6;100.5;97.8;97.5;98.4;104.8;107.8;109.3;106.5;109.4;99.4;97.0;97.2;92.9;92.4;95.3;98.7;95.1;94.8;95.4;92.5;91.5;90.7;90.2;87.8;87.1;88.1;87.3;84.8;86.5;85.6;85.6;85.6;87.7;89.3;93.1;90.6;89.9;87.1;87.0;88.1;82.1;75.5
29 years;84.3;75.1;75.8;77.7;81.2;84.5;86.2;87.4;90.1;90.8;90.7;87.0;87.7;89.6;95.2;98.9;101.3;100.0;102.6;94.7;93.1;93.9;93.1;93.7;97.5;99.8;97.9;97.2;97.1;94.4;94.9;94.3;95.0;92.1;91.4;93.8;92.8;91.0;93.2;92.7;91.9;93.3;97.2;98.7;103.3;102.4;100.6;99.4;98.2;102.0;93.2;85.5
30 years;74.3;67.2;65.8;67.6;70.9;71.8;74.7;76.8;80.0;79.5;80.7;77.4;76.7;79.7;85.5;88.4;92.7;90.7;93.9;88.5;87.3;90.1;88.8;89.9;94.9;98.8;96.7;95.7;96.4;93.8;93.3;94.8;95.4;94.1;93.9;97.0;97.1;95.7;97.7;97.6;99.9;98.8;104.4;106.0;110.6;110.6;109.6;108.0;109.0;112.4;104.2;93.9
31 years;65.1;58.5;57.8;56.5;58.5;61.5;61.7;64.5;67.7;68.4;67.5;66.0;66.9;68.2;73.6;76.9;80.5;80.0;83.1;78.7;78.5;80.3;79.1;81.6;88.0;93.1;91.0;91.3;91.8;89.5;90.7;91.4;94.2;94.0;93.3;96.6;97.8;97.0;100.0;100.4;102.1;103.6;108.1;110.1;115.8;115.6;114.8;114.6;114.4;119.6;109.2;100.4
32 years;57.0;49.8;49.0;47.6;48.7;50.0;51.5;52.8;56.8;58.1;57.7;55.1;55.3;57.1;61.6;65.3;68.6;67.8;71.3;67.8;68.9;68.6;69.0;71.8;77.2;82.8;82.5;83.8;84.9;83.2;83.3;84.7;87.8;88.5;88.8;92.3;94.7;94.2;97.3;98.7;99.8;102.1;107.6;109.1;114.6;115.0;114.8;114.7;114.2;120.7;110.5;101.9
33 years;50.4;42.6;41.1;40.8;41.0;40.0;42.3;43.1;45.3;47.0;47.0;46.1;45.2;47.3;50.5;53.6;56.2;57.3;59.9;57.6;56.7;58.6;58.6;60.8;65.1;69.6;71.6;72.7;75.0;74.3;75.5;77.0;80.4;80.6;81.9;87.4;88.6;88.8;92.5;92.4;94.6;96.5;102.1;105.4;109.5;110.2;110.2;110.4;110.1;116.5;104.5;98.0
34 years;43.6;37.5;35.3;33.2;33.6;33.3;32.7;34.9;37.0;37.4;38.0;37.0;37.2;38.1;40.7;44.0;45.9;46.0;48.8;47.1;48.3;48.6;48.6;50.3;53.6;58.1;59.5;62.1;64.6;64.6;65.7;67.0;70.4;71.7;71.9;78.0;80.5;81.8;84.7;85.9;87.5;90.1;94.4;97.1;102.2;101.6;103.5;103.0;102.8;108.6;98.5;91.6
35 years;37.6;32.4;29.5;27.4;26.8;27.3;26.6;26.7;29.7;30.6;30.3;29.9;30.2;31.3;32.8;35.2;36.9;37.1;39.6;38.3;38.7;39.7;39.1;41.3;43.9;47.9;48.9;50.7;53.1;53.7;56.2;58.2;60.3;60.9;62.8;68.0;71.2;71.5;75.9;77.1;78.4;81.4;85.6;87.8;92.9;92.3;94.8;94.0;94.5;99.1;89.2;83.1
