Country;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Turkey;51;85;235;421;771;1872;3366;4580;5397;8550;13353;21252;27685;33914;41221;44718;41301;38059;36898;37760;41126;41134;36392;30378;26934;26440;29539;35431;39196;42718;45888;46165;48258;47632;46438;45151;48356;48876;46283;41663;39774;36683;34961;33226;32026;30007;29644;28710;26437;24576;24386;23172;22142;21754;21908;21555;21827;20989;20310;19614;18532;18049;16806;16319
Hungary;172;152;120;114;106;96;118;92;86;100;105;170;165;215;256;270;267;250;252;222;262;264;257;241;234;225;246;247;352;444;400;438;435;476;448;490;527;599;630;607;672;644;731;712;704;757;739;760;763;781;775;893;958;1301;1680;2026;2538;2702;2888;2914;2976;2855;2583;2366
United Kingdom;180;175;206;219;285;295;348;353;322;356;405;558;665;744;830;856;935;1031;1100;1172;1221;1280;1318;1260;1215;1179;1253;1322;1381;1394;1452;1415;1406;1353;1423;1321;1234;1227;1160;1089;1029;964;979;910;912;829;822;789;779;666;730;724;699;721;731;723;745;724;695;610;604;563;526;466
Scandinavian countries;160;175;251;302;339;474;521;641;642;774;772;923;933;946;1081;1097;1063;1005;971;986;946;863;846;733;722;624;597;614;628;594;612;649;653;626;673;697;760;782;806;765;794;843;856;782;818;842;780;787;730;746;746;706;645;692;707;751;760;735;716;703;760;740;724;742
Other European countries;414;304;442;644;948;1115;1575;2232;2388;4026;8771;13401;15549;17064;18399;17108;15839;14198;13250;12446;12203;11253;9795;7928;6917;6319;6224;6248;6882;7858;9260;12353;18665;23435;25128;26555;28961;29593;26975;27719;29282;27489;28575;29666;31166;31517;28571;22314;26556;28985;30771;31627;33313;35804;39850;48384;53183;52578;55009;57050;58373;61807;66917;68359
Africa;50;62;74;89;113;148;200;196;207;256;367;574;794;1045;1370;1694;1967;2167;2592;2964;3489;3616;3685;3458;3295;3215;3439;3597;3851;3741;4069;4211;4571;5032;4815;4918;5656;5943;6211;6018;6401;6828;7273;8006;8307;8837;8995;9022;8969;8930;9258;9233;9585;10189;11646;13530;17252;17844;19970;20786;19294;18621;18480;18389
America;373;403;507;520;649;650;724;699;712;768;817;1005;1150;1261;1343;1371;1482;1582;1716;1765;1953;2101;2216;2221;2372;2645;2757;2983;2843;3027;3060;3142;3092;3395;3231;3449;3509;3584;3799;3934;4143;4133;4169;4266;4215;4289;4150;4197;4225;4118;4035;3962;3833;3891;4366;4436;4574;4457;5360;5552;5499;5893;5400;5445
Asia;139;200;261;310;430;514;691;683;759;923;1014;1300;1558;1796;2124;2485;2789;2919;3384;3979;5058;5254;5359;5018;4753;5501;6871;7973;8505;9619;11023;12552;12861;14898;14668;14841;16473;17299;17313;17652;19533;19138;20188;20861;20671;20325;19712;19498;18455;17852;18462;18796;19604;19577;21292;25067;48049;48378;49750;48565;47659;48722;50181;52381
Australia and Oceania;12;14;21;31;32;23;47;36;59;60;53;103;98;116;100;109;99;102;118;100;96;86;104;60;99;75;72;85;80;84;100;118;120;106;128;113;119;128;121;115;120;140;136;142;143;147;156;140;170;196;184;185;166;164;198;192;191;213;183;202;204;217;213;143
Stateless, unknown, uncertain, not specified;632;586;491;464;422;394;370;343;344;363;394;461;524;496;559;522;643;623;562;627;609;672;642;618;571;615;835;939;947;1144;1350;1517;1966;1828;1936;2272;2475;2500;2422;2922;2722;2288;2210;2338;2300;2212;2080;2120;2253;2209;1610;1595;1606;1917;1960;2874;5245;4873;3967;4011;3663;3030;3140;3220
